,Text,Label
1,The only thing I got from college is a caffeine addiction,sarcastic
2,Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,sarcastic
3,Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,sarcastic
4,"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",sarcastic
5,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,sarcastic
6,someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,sarcastic
7,Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,sarcastic
8,"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd",sarcastic
9,See Brexit is going well,sarcastic
10,Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,sarcastic
11,do i just blast maneskin to get hyped for my osce or??,sarcastic
12,"I never thought I'd say this, but I have become one of those people who like bounty bars.",sarcastic
13,My eldest is having a wild Friday night out. She's going to bingo. 😂,sarcastic
14,"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",sarcastic
15,gaslight gatekeep girl boss,sarcastic
16,I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,sarcastic
17,Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,sarcastic
18,"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",sarcastic
19,The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,sarcastic
20,"Strength.""",sarcastic
21,"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",sarcastic
22,teams is down what a shame I can’t do my assignments 👉🏽👈🏽,sarcastic
23,@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,sarcastic
24,Not telling anyone how I voted in case it doesn't come true #EUref,sarcastic
25,just wondering how to get my diss down by 1500 words .. such fun,sarcastic
26,Trying to know all this history tonight is gonna kill me,sarcastic
27,love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,sarcastic
28,Nice to be compared to a brick wall 😂,sarcastic
